name,time,bytes_recv,bytes_sent
net,1.559895832E+018,383997594,2847855197
net,1.559895833E+018,384416224,2851082949
net,1.559895834E+018,384823182,2854179151
net,1.559895835E+018,385246948,2857406657
net,1.559895836E+018,385686591,2860782724
net,1.559895837E+018,386119529,2864076628
net,1.559895838E+018,386558851,2867444112
net,1.559895839E+018,386983239,2870650517
net,1.55989584E+018,387481391,2874486372
net,1.559895841E+018,387813616,2877031643
net,1.559895842E+018,388243053,2880310646
net,1.559895843E+018,388672911,2883601468
net,1.559895844E+018,389105390,2886887371
net,1.559895845E+018,389519162,2890045435
net,1.559895846E+018,389936245,2893241026
net,1.559895847E+018,390340665,2896312438
net,1.559895848E+018,390741177,2899367346
net,1.559895849E+018,391141888,2902435765
net,1.55989585E+018,391641098,2906228307
net,1.559895851E+018,391951651,2908587012
net,1.559895852E+018,392299722,2911283119
net,1.559895853E+018,392680161,2914176412
net,1.559895854E+018,393025925,2916836271
net,1.559895855E+018,393315512,2919046094
net,1.559895856E+018,393675357,2921814905
net,1.559895857E+018,394083517,2924924347
net,1.559895858E+018,394501294,2928092299
net,1.559895859E+018,394924987,2931348892
net,1.55989586E+018,395429121,2935152057
net,1.559895861E+018,395750840,2937597183
net,1.559895862E+018,396161468,2940740893
net,1.559895863E+018,396550481,2943671826
net,1.559895864E+018,396949309,2946742479
net,1.559895865E+018,397354109,2949819149
net,1.559895866E+018,397748385,2952823792
net,1.559895867E+018,398149211,2955872493
net,1.559895868E+018,398545276,2958859165
net,1.559895869E+018,398947586,2961958726
net,1.55989587E+018,399448105,2965760188
net,1.559895871E+018,399701698,2967699803
net,1.559895872E+018,400078703,2970597116
net,1.559895873E+018,400484755,2973707735
net,1.559895874E+018,400895200,2976826061
net,1.559895875E+018,401293571,2979874704
net,1.559895876E+018,401686298,2982854373
net,1.559895877E+018,402101167,2986007265
net,1.559895878E+018,402511266,2989169265
net,1.559895879E+018,402894231,2992072075
net,1.55989588E+018,403360560,2995648879
net,1.559895881E+018,403655379,2997899076
net,1.559895882E+018,404059828,3000966771
net,1.559895883E+018,404429340,3003801015
net,1.559895884E+018,404776452,3006459334
net,1.559895885E+018,405168055,3009422924
net,1.559895886E+018,405559616,3012457143
net,1.559895887E+018,405943684,3015393914
net,1.559895888E+018,406300666,3018141334
net,1.559895889E+018,406689064,3021102394
net,1.55989589E+018,407149973,3024634286
net,1.559895891E+018,407445610,3026906982
net,1.559895892E+018,407802915,3029646909
net,1.559895893E+018,408195024,3032650736
net,1.559895894E+018,408601517,3035750830
net,1.559895895E+018,409008422,3038869216
net,1.559895896E+018,409384757,3041752051
net,1.559895897E+018,409777278,3044759910
net,1.559895898E+018,410166759,3047715687
net,1.559895899E+018,410586366,3050910978
net,1.5598959E+018,411084482,3054688190
net,1.559895901E+018,411411359,3057198575
net,1.559895902E+018,411825367,3060332761
net,1.559895903E+018,412236079,3063475164
net,1.559895904E+018,412644954,3066576795
net,1.559895905E+018,413052672,3069697331
net,1.559895906E+018,413439228,3072673841
net,1.559895907E+018,413842572,3075730893
net,1.559895908E+018,414249468,3078824411
net,1.559895909E+018,414668654,3081991839
net,1.55989591E+018,415168476,3085820259
net,1.559895911E+018,415490161,3088215025
net,1.559895912E+018,415918414,3091475343
net,1.559895913E+018,416321415,3094531971
net,1.559895914E+018,416728596,3097651139
net,1.559895915E+018,417129764,3100738863
net,1.559895916E+018,417513742,3103669057
net,1.559895917E+018,417913916,3106729385
net,1.559895918E+018,418307628,3109734833
net,1.559895919E+018,418729831,3112947008
net,1.55989592E+018,419222630,3116707611
net,1.559895921E+018,419532881,3119095990
net,1.559895922E+018,419938250,3122153587
net,1.559895923E+018,420353893,3125327268
net,1.559895924E+018,420752647,3128375380
net,1.559895925E+018,421150592,3131431949
